sample_id,timestamp,subject_id,session_id,camera_position,lighting_condition,exercise_type,active_arm,rom_elbow,upper_arm_angle_std,torso_sway_range,shoulder_angle_range,rep_duration,up_phase_duration,down_phase_duration,elbow_velocity_mean,elbow_velocity_std,motion_smoothness,elbow_drift_range,mean_visibility,label,error_type,notes
111,2026-06-11T08:38:31,S05,session_01,side,normal,biceps,right,71.01349344209969,3.512881634917834,3.5597756968034586,13.173157929845832,2.904771566390991,1.7837224006652832,1.121049165725708,72.54777156666266,75.96958236128926,1630.3304938466645,12.770123871107414,0.9403072197455913,correct,correct,good_form
112,2026-06-11T08:39:03,S05,session_01,side,normal,biceps,right,73.60021593681051,4.8557958796901595,1.8540610757048333,13.143950466812369,2.43166184425354,1.955352783203125,0.47630906105041504,82.97968705640739,97.32870973309937,1735.0614615826753,14.334571931341493,0.9652551616332969,correct,correct,good_form
113,2026-06-11T08:39:14,S05,session_01,side,normal,biceps,right,77.05560062746035,1.5502167152153692,2.540907313545148,7.341450113733286,2.011890172958374,1.0638659000396729,0.9480242729187012,87.55466504810431,78.49652967980512,1058.0715394808185,5.022828980759706,0.9717559948927019,correct,correct,good_form
114,2026-06-11T08:39:32,S05,session_01,side,normal,biceps,right,95.12013301062439,4.954844921435293,3.242357227415688,10.70366027880805,2.042966365814209,0.984276294708252,1.058690071105957,104.85458809355488,146.28864080989956,3136.498343129377,14.185766748523587,0.9682071083121829,correct,correct,good_form
115,2026-06-11T08:39:47,S05,session_01,side,normal,biceps,left,77.66130614440954,3.6561204943042225,3.7292932086945227,14.337939587024753,2.0798003673553467,1.4860799312591553,0.5937204360961914,90.81115567837358,99.74066809089433,1804.7733487493324,16.563623596355587,0.9837632875727571,correct,correct,good_form
116,2026-06-11T08:39:54,S05,session_01,side,normal,biceps,left,70.56373149072559,1.7050594856224357,4.249339590634122,5.581929354085902,2.0271573066711426,1.4334003925323486,0.593756914138794,81.23953947006933,94.74571276329146,2050.8886410204054,7.670024337078035,0.9770060761467271,correct,correct,good_form
117,2026-06-11T08:40:01,S05,session_01,side,normal,biceps,left,81.18978584524714,5.054927780443982,3.329813286608964,16.301186937130563,1.9020915031433105,1.1656742095947266,0.736417293548584,102.98084087751378,128.00710326269427,2896.573754915939,16.9060984836587,0.9825669072923207,correct,correct,good_form
118,2026-06-11T08:40:06,S05,session_01,side,normal,biceps,left,80.80442392121377,6.202370557697046,2.653823862118155,16.594658429035704,1.6337192058563232,0.9485831260681152,0.685136079788208,122.08914858551218,131.3849445004657,2471.1473148556065,16.365486844547497,0.9856807827144056,correct,correct,good_form
119,2026-06-11T08:40:16,S05,session_01,side,normal,biceps,left,76.61405238883331,3.2581678764897632,3.46296542993695,8.289546513458141,1.7733311653137207,0.4670534133911133,1.3062777519226074,108.91430304417779,117.88282461266654,2765.915662719285,9.1422245224866,0.9776139217309463,correct,correct,good_form
120,2026-06-11T08:42:11,S05,session_02,side,normal,biceps,right,81.54563133888985,15.778801210708133,9.922974095342942,45.771303550917736,1.7988555431365967,0.7914514541625977,1.007404088973999,126.27958188806515,93.36807365681108,2336.244879883721,55.18511580431122,0.9602821259162365,incorrect,body_swing,badan_bergerak
121,2026-06-11T08:42:30,S05,session_02,side,normal,biceps,right,104.75441658120198,6.207571451654941,9.49370130834818,19.629365189841288,1.4689557552337646,0.8351988792419434,0.6337568759918213,142.86918371984166,152.27949634926006,4263.785189725416,22.718279891385894,0.9802245100339254,incorrect,body_swing,badan_bergerak
122,2026-06-11T08:42:43,S05,session_02,side,normal,biceps,right,101.1220351384148,8.392475654116575,13.596630225643807,20.93319675907814,1.9799525737762451,1.128309726715088,0.8516428470611572,128.8927627994785,142.29823246601526,2100.3681581976157,27.815040337369382,0.981187166202636,incorrect,body_swing,badan_bergerak
